file,corpus,in_dt_nn,dt_nn_in,nn_in_dt,dt_jj_nn,in_dt_jj,jj_nn_in,nn_in_nn,nns_in_dt,vbn_in_dt,in_jj_nns,nn_in_jj,in_dt_nns,in_jj_nn,jj_nns_in,dt_nn_nn,in_nn_in,nn_in_nns,dt_nn_vbz,nns_in_nn,dt_nns_in,to_vb_dt,vb_dt_nn,nn_cc_nn,dt_jj_nns,md_vb_vbn,nn_nn_in,in_nns_in,vbz_dt_nn,jj_in_dt,nn_md_vb,vb_vbn_in,nns_in_jj,prp_md_vb,jj_nn_nn,nn_to_vb,rb_in_dt,nn_in_nnp,md_rb_vb,in_nn_cc,nn_in_prp,nn_vbz_vbn,to_vb_in,jj_nn_vbz,in_nn_nn,jj_to_vb,in_dt_nnp,cc_dt_nn,in_prp_nn,jj_jj_nn,dt_nn_cc,prp_vbp_rb,prp_vbp_prp,vbp_rb_vb,prp_vbp_vbn,prp_vbz_rb,prp_md_rb,in_prp_vbp,prp_vbd_rb,prp_vbd_prp,uh_prp_vbp,rb_vb_prp,rb_prp_vbp,prp_vbp_vbg,prp_vbp_dt,to_vb_prp,vbg_to_vb,cc_prp_vbp,dt_nn_rb,md_vb_prp,prp_vbd_dt,prp_vbp_in,dt_nn_prp,cc_prp_vbd,nn_prp_vbp,vbd_dt_nn,vb_in_dt,vb_in_prp,vbp_prp_vb,prp_vbz_dt,md_vb_dt,rb_vb_dt,prp_vbd_in,in_prp_vbd,prp_vbd_vbn,vbd_in_dt,dt_nn_vbd,vbd_in_prp,vbd_to_vb,rb_in_prp,vbd_dt_jj,in_nnp_nnp,vbd_prp_nn,vbd_rb_in,nnp_vbd_rb,vbd_vbn_in,prp_nn_in,prp_jj_nn,in_prp_nns,vbg_in_dt,nn_prp_vbd,vb_dt_jj,vbp_to_vb,vbz_rb_jj,vbp_dt_nn,prp_vbz_jj,vbp_in_prp,nn_vbz_rb,nn_vbz_jj,vbz_jj_in,prp_vbp_to,rb_jj_in,nnp_nnp_nnp,dt_nnp_nnp,nnp_nnp_vbd,nnp_in_nnp,nnp_cc_nnp,nnp_nnp_in,nn_in_cd,nns_in_nnp,nn_nnp_nnp,nnp_pos_nn
hoc_DH,hoc,147,124,110,116,85,53,54,42,23,23,23,29,21,34,15,23,16,18,12,28,40,44,13,24,19,10,10,25,16,20,15,10,46,11,39,28,29,42,11,25,8,31,9,5,32,77,11,20,9,14,34,13,14,17,16,22,42,11,5,1,12,11,13,21,29,15,11,14,11,6,21,9,1,7,11,24,21,5,8,21,14,3,17,2,2,3,2,3,17,4,19,5,3,3,4,20,10,25,12,1,24,23,10,14,7,8,4,6,6,15,11,8,18,0,7,18,7,3,17,2,9
hoc_DI,hoc,65,48,32,58,25,28,16,17,8,8,6,13,7,11,25,12,19,15,3,8,14,24,9,12,6,15,3,13,7,6,5,2,37,19,16,7,16,36,0,22,2,11,3,8,17,8,4,18,5,9,31,12,20,18,12,24,19,3,1,1,16,2,3,9,16,7,4,7,11,3,11,8,1,10,2,9,5,1,10,7,13,1,3,1,1,0,0,4,7,3,14,0,0,3,2,5,12,7,0,1,8,9,7,13,9,5,9,3,5,7,8,4,2,1,6,7,3,3,4,1,10
hoc_DJ,hoc,100,73,67,89,52,40,35,36,15,23,14,31,4,21,12,20,9,28,14,29,31,28,13,31,17,7,7,13,14,22,9,7,40,3,25,10,27,47,8,10,11,27,13,3,18,48,7,15,6,13,28,7,13,18,17,19,23,5,0,0,11,7,11,20,15,11,8,9,5,5,19,7,0,13,5,26,13,1,7,12,11,3,5,0,9,6,1,4,7,4,22,0,0,2,1,6,6,9,12,3,16,14,7,17,13,5,15,5,8,4,7,7,25,4,6,10,5,1,13,1,4
hoc_DK,hoc,51,43,28,43,19,22,18,11,5,11,7,10,6,9,4,6,16,15,11,5,14,16,4,12,9,7,4,8,8,7,2,3,12,5,7,2,3,17,10,7,5,5,2,3,10,1,5,5,2,4,12,1,3,7,4,5,11,0,0,0,3,1,0,7,8,2,3,7,1,0,8,1,0,3,2,6,2,0,5,10,5,0,2,1,3,1,1,2,2,0,2,0,1,0,0,3,2,5,3,0,11,4,7,5,4,1,4,3,2,1,11,1,1,0,0,0,0,2,1,0,1
hoc_DL,hoc,184,149,108,117,75,51,75,41,36,13,29,50,33,18,42,32,21,23,22,37,33,42,27,24,24,21,14,24,23,27,17,9,37,6,30,22,25,37,20,37,14,40,13,13,28,47,17,20,14,21,48,23,14,14,13,20,29,3,2,1,13,6,10,22,21,11,9,9,9,2,15,9,0,12,4,34,19,1,13,15,20,5,6,4,7,5,1,11,11,5,14,0,0,0,7,8,10,11,17,5,10,20,15,15,7,2,16,12,6,14,17,10,12,3,7,4,3,3,8,0,3
hoc_DM,hoc,172,128,113,116,88,63,47,45,41,34,24,48,14,27,15,20,15,87,15,36,39,42,26,34,16,12,14,26,34,19,13,11,44,6,28,17,31,47,18,27,45,32,17,2,18,65,15,17,10,20,35,9,20,15,13,22,23,4,1,0,13,9,9,23,19,13,10,12,8,2,20,5,2,2,8,29,11,2,11,17,27,9,16,7,4,3,2,8,11,3,22,1,2,4,6,8,9,15,24,2,33,17,13,16,10,6,44,12,5,5,15,11,17,4,1,23,4,9,25,0,4
hoc_DN,hoc,189,145,126,123,84,68,58,56,31,29,31,45,33,44,26,24,26,32,18,48,61,55,35,42,25,11,15,24,25,32,21,17,57,12,33,22,26,45,19,23,15,34,20,7,30,66,17,22,12,18,34,10,16,25,13,21,36,5,6,0,10,7,17,23,27,16,13,11,11,5,17,11,3,10,8,27,11,6,7,21,22,4,9,1,7,3,1,3,7,7,28,3,0,0,4,13,15,14,11,3,33,17,13,12,17,6,13,8,14,10,17,16,28,5,8,17,3,6,37,1,4
hoc_DO,hoc,91,63,81,85,68,47,33,26,26,20,14,31,18,13,21,18,10,17,7,18,37,28,7,39,14,9,6,14,13,15,6,12,22,3,23,14,13,21,4,12,6,14,12,9,12,42,10,14,6,11,10,7,7,9,12,12,16,1,0,0,6,6,10,13,13,12,3,2,7,0,11,2,1,2,2,15,3,1,7,10,10,6,3,0,6,3,2,3,11,1,2,1,2,4,0,11,5,5,9,1,18,11,12,13,4,2,13,6,3,4,9,6,10,1,2,11,1,2,13,0,2
hoc_DP,hoc,114,103,81,92,55,45,43,37,17,18,16,33,14,31,8,28,10,22,11,30,22,34,18,23,16,7,12,27,25,18,11,14,31,3,29,12,36,34,9,27,5,34,15,5,16,64,11,21,8,14,22,7,18,13,11,10,18,5,4,0,17,6,10,15,19,9,5,6,6,4,18,6,2,9,5,25,17,6,6,10,16,1,10,1,5,2,1,2,5,5,24,2,0,1,7,15,6,7,14,2,8,9,13,10,13,4,16,5,7,5,14,13,19,5,5,20,6,4,25,0,4
hoc_DQ,hoc,55,37,32,36,24,8,12,11,6,3,2,12,4,3,18,6,2,12,5,8,10,9,1,6,10,6,1,3,6,9,2,2,13,8,16,8,5,8,5,10,6,12,1,4,4,6,5,8,4,6,6,0,2,3,3,1,1,2,1,0,1,3,0,3,5,0,1,3,1,1,1,4,0,0,4,11,4,0,0,6,3,1,3,3,2,5,1,3,2,1,1,0,1,2,3,0,0,6,1,4,9,2,3,5,1,0,8,0,1,0,3,1,2,1,1,2,2,1,2,2,2
