file,corpus,in_dt_nn,dt_nn_in,nn_in_dt,dt_jj_nn,in_dt_jj,jj_nn_in,nn_in_nn,nns_in_dt,vbn_in_dt,in_jj_nns,nn_in_jj,in_dt_nns,in_jj_nn,jj_nns_in,dt_nn_nn,in_nn_in,nn_in_nns,dt_nn_vbz,nns_in_nn,dt_nns_in,to_vb_dt,vb_dt_nn,nn_cc_nn,dt_jj_nns,md_vb_vbn,nn_nn_in,in_nns_in,vbz_dt_nn,jj_in_dt,nn_md_vb,vb_vbn_in,nns_in_jj,prp_md_vb,jj_nn_nn,nn_to_vb,rb_in_dt,nn_in_nnp,md_rb_vb,in_nn_cc,nn_in_prp,nn_vbz_vbn,to_vb_in,jj_nn_vbz,in_nn_nn,jj_to_vb,in_dt_nnp,cc_dt_nn,in_prp_nn,jj_jj_nn,dt_nn_cc,prp_vbp_rb,prp_vbp_prp,vbp_rb_vb,prp_vbp_vbn,prp_vbz_rb,prp_md_rb,in_prp_vbp,prp_vbd_rb,prp_vbd_prp,uh_prp_vbp,rb_vb_prp,rb_prp_vbp,prp_vbp_vbg,prp_vbp_dt,to_vb_prp,vbg_to_vb,cc_prp_vbp,dt_nn_rb,md_vb_prp,prp_vbd_dt,prp_vbp_in,dt_nn_prp,cc_prp_vbd,nn_prp_vbp,vbd_dt_nn,vb_in_dt,vb_in_prp,vbp_prp_vb,prp_vbz_dt,md_vb_dt,rb_vb_dt,prp_vbd_in,in_prp_vbd,prp_vbd_vbn,vbd_in_dt,dt_nn_vbd,vbd_in_prp,vbd_to_vb,rb_in_prp,vbd_dt_jj,in_nnp_nnp,vbd_prp_nn,vbd_rb_in,nnp_vbd_rb,vbd_vbn_in,prp_nn_in,prp_jj_nn,in_prp_nns,vbg_in_dt,nn_prp_vbd,vb_dt_jj,vbp_to_vb,vbz_rb_jj,vbp_dt_nn,prp_vbz_jj,vbp_in_prp,nn_vbz_rb,nn_vbz_jj,vbz_jj_in,prp_vbp_to,rb_jj_in,nnp_nnp_nnp,dt_nnp_nnp,nnp_nnp_vbd,nnp_in_nnp,nnp_cc_nnp,nnp_nnp_in,nn_in_cd,nns_in_nnp,nn_nnp_nnp,nnp_pos_nn
dem_KE4_880,dem,19,7,2,8,1,3,0,0,0,0,0,0,0,0,2,1,2,0,0,0,4,5,0,0,0,0,0,4,0,1,0,0,16,0,3,3,0,4,0,8,0,0,0,0,1,1,0,5,0,0,4,3,2,5,4,3,4,1,2,1,3,0,1,1,2,0,0,8,10,1,2,1,1,3,0,2,2,2,1,5,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dem_KE4_881,dem,15,8,4,6,1,0,1,1,2,0,0,1,0,0,3,1,0,0,0,1,1,6,0,0,0,1,0,2,2,0,0,0,6,0,1,1,0,1,0,4,0,2,0,0,2,0,1,0,0,0,19,1,8,4,2,1,7,1,1,3,4,2,2,3,4,1,2,4,0,0,3,1,0,3,2,3,2,6,1,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,1,3,1,0,0,0,1,0,1,0,0,0
dem_KE4_883,dem,10,5,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,5,0,3,0,1,0,0,1,0,1,1,0,2,1,0,0,6,5,4,6,0,0,1,1,0,3,1,2,2,0,0,0,0,0,1,0,0,0,1,4,0,0,3,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0
dem_KE4_884,dem,21,6,5,10,8,1,0,3,0,0,0,5,0,1,6,0,0,0,1,4,2,1,0,2,0,0,1,1,1,2,0,0,14,0,1,5,1,6,1,3,0,5,0,1,1,0,2,4,1,1,16,6,9,5,3,11,3,14,13,4,8,2,4,2,8,5,4,2,13,14,4,1,9,0,11,4,5,2,1,0,1,13,4,1,7,4,6,4,3,3,1,2,1,3,0,2,1,1,2,1,2,4,0,0,0,3,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0
dem_KE4_885,dem,21,15,7,15,4,4,8,0,1,0,0,0,3,0,14,1,1,2,1,0,4,20,3,1,3,5,0,5,2,1,2,0,26,0,2,7,3,10,0,12,2,4,0,2,2,1,3,17,0,5,24,13,16,6,7,7,6,11,17,2,8,7,8,10,15,9,6,3,8,5,7,3,16,3,4,4,6,6,3,8,6,3,4,2,1,2,1,4,8,2,0,4,1,0,2,3,2,1,1,2,0,5,1,6,2,1,1,0,0,4,2,0,1,0,0,0,1,0,0,0,1
dem_KE4_886,dem,7,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,3,0,0,0,2,1,0,0,0,1,2,0,1,7,3,3,1,2,4,3,2,1,2,0,0,0,0,4,3,2,2,5,2,2,0,0,0,0,2,1,3,0,1,1,3,1,0,2,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
dem_KE4_889,dem,10,7,5,12,6,6,1,1,0,0,1,1,1,1,5,0,3,0,1,1,2,3,0,0,0,0,1,6,0,1,0,0,6,1,1,1,1,6,0,1,0,0,1,1,0,0,6,5,2,3,7,3,4,1,1,3,1,2,1,1,4,1,4,3,2,4,3,2,2,2,1,1,1,1,3,2,3,2,3,3,2,1,2,0,1,3,0,0,1,0,1,0,1,1,1,1,0,3,2,0,3,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0
dem_KE4_890,dem,11,6,6,15,6,3,1,1,0,0,0,2,0,0,5,1,0,0,0,1,6,9,0,1,0,0,0,9,0,0,0,0,11,0,0,1,0,7,0,3,0,1,0,1,3,0,0,6,5,0,28,3,15,3,3,6,7,2,3,1,4,1,9,13,13,9,3,0,2,0,6,4,0,3,1,1,2,0,5,2,5,6,0,1,3,1,3,0,3,0,0,0,0,0,0,2,2,1,0,2,3,5,0,1,2,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
dem_KE4_893,dem,5,3,4,6,1,4,2,2,0,0,1,0,1,0,0,2,2,1,0,0,1,6,1,0,1,1,0,0,0,0,0,0,8,2,1,0,1,2,0,5,0,2,0,0,1,1,1,4,0,3,6,2,2,6,3,1,0,0,1,3,0,2,2,0,1,1,1,2,3,0,0,0,0,0,0,1,2,1,1,3,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
dem_KNR_895,dem,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,1,2,0,3,0,2,0,1,0,0,0,0,1,1,2,1,3,4,4,2,1,5,1,3,6,3,3,1,2,6,3,1,2,4,2,3,4,0,4,2,2,2,1,1,0,1,0,4,2,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
dem_KNR_897,dem,12,16,7,16,5,6,4,2,1,2,4,0,2,2,4,2,2,1,2,1,3,10,3,2,4,1,1,8,2,2,0,1,13,1,2,2,5,8,1,9,0,5,0,1,2,1,1,8,0,0,16,6,12,3,16,10,7,19,14,7,6,3,6,3,5,11,1,3,4,10,3,5,12,2,12,1,5,5,5,4,3,6,11,5,3,2,3,5,8,2,5,4,1,3,1,5,0,2,0,2,2,4,8,5,4,0,1,0,0,3,4,3,1,0,0,7,1,0,0,0,2
dem_KP2_898,dem,14,6,5,5,5,2,2,2,1,3,1,2,1,1,7,1,1,3,0,0,9,13,0,2,1,2,3,4,0,3,0,0,24,1,1,6,0,4,1,9,2,7,1,1,3,0,1,4,1,1,11,13,2,5,4,7,19,3,2,1,5,5,13,1,4,19,5,2,3,0,5,3,0,3,0,6,1,1,1,7,0,4,4,0,2,0,1,1,7,0,0,1,1,0,0,2,0,1,1,4,2,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
dem_KP2_899,dem,3,1,1,6,0,4,0,0,0,0,2,1,1,0,1,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,2,1,3,1,0,1,0,3,0,0,0,0,0,0,2,4,0,0,8,5,2,5,3,1,2,8,3,3,3,4,3,1,2,1,4,3,0,2,2,3,1,0,3,1,0,0,1,0,2,0,1,0,0,2,0,2,4,0,1,0,2,0,0,0,7,1,0,3,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
dem_KP2_900,dem,7,7,4,5,5,1,1,0,1,0,0,2,0,1,5,1,1,2,2,0,4,8,0,0,0,0,1,2,1,0,0,0,2,0,0,3,3,4,0,3,0,3,4,0,0,1,0,2,0,0,11,5,6,15,4,5,8,2,2,2,1,2,10,2,3,4,7,3,0,0,2,2,1,7,0,3,2,0,0,1,1,2,1,0,0,1,1,0,1,0,4,0,0,0,0,1,3,2,2,0,0,6,2,1,1,0,3,1,1,5,2,2,0,0,0,0,0,0,0,0,0
dem_KP2_901,dem,25,16,10,15,4,1,6,2,0,1,0,9,1,1,8,4,1,1,1,1,13,22,4,2,1,1,3,3,5,1,0,0,20,1,3,3,2,6,3,7,0,8,1,6,0,4,2,8,1,5,32,19,10,11,19,8,17,13,6,10,12,9,4,7,9,9,12,3,4,2,15,9,5,10,3,9,5,2,1,4,6,3,4,1,4,1,0,7,13,0,3,1,2,1,0,3,1,2,0,5,3,11,2,4,5,3,0,0,1,11,0,0,2,0,0,0,1,0,1,1,0
dem_KP2_902,dem,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,2,1,0,1,1,0,1,0,0,1,0,0,2,1,2,1,1,3,0,4,0,1,0,0,0,0,0,4,0,2,11,3,2,2,3,3,9,3,3,1,3,4,3,1,3,8,2,2,0,1,4,3,9,3,1,0,4,2,0,1,1,7,2,2,1,0,2,0,2,0,0,1,0,0,0,1,1,1,0,0,1,3,0,1,1,2,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0
dem_KP2_904,dem,5,1,1,2,1,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,2,4,0,0,0,1,0,2,0,0,0,0,11,2,1,0,0,6,0,3,0,0,1,0,0,0,3,5,0,0,19,8,9,0,11,5,5,0,5,5,6,8,1,1,1,1,2,2,4,1,3,3,0,5,0,1,2,2,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,1,1,0,2,1,0,3,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,1
dem_KP2_906,dem,6,11,0,7,1,0,0,1,0,0,0,1,2,0,3,0,7,2,1,1,0,4,3,0,0,0,0,2,1,0,0,0,2,2,0,2,0,1,1,4,2,1,0,1,1,0,0,3,0,1,9,10,10,3,4,2,4,4,11,4,6,3,4,2,0,2,0,2,1,3,0,1,5,5,3,1,2,1,1,0,1,5,1,0,1,1,0,0,0,1,0,0,1,1,0,0,3,2,1,3,1,0,2,1,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0
dem_KP2_907,dem,3,4,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,1,2,0,1,1,1,0,0,2,0,2,0,4,1,0,4,4,0,1,0,1,0,2,3,3,2,1,0,1,0,1,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,2,1,0,0,2,1,3,0,7,3,1,0,1,0,0,0,0,0
dem_KP5_908,dem,35,22,12,25,6,2,6,1,2,0,2,0,1,1,7,6,0,5,1,0,6,21,1,2,3,1,0,9,3,1,0,0,36,5,1,10,3,11,2,7,0,3,0,3,2,2,2,4,0,4,22,20,8,6,14,11,13,9,7,11,13,3,6,7,7,4,2,16,9,14,2,7,8,2,9,5,3,7,13,4,5,3,5,1,2,3,1,3,6,4,3,0,2,3,0,3,2,0,0,2,2,4,6,8,5,2,5,0,0,4,4,4,1,2,0,3,0,1,0,2,4
dem_KP5_909,dem,37,29,9,24,9,6,5,2,4,1,1,3,5,1,10,1,8,0,3,1,15,22,2,4,9,1,2,10,4,1,1,1,42,3,3,4,1,20,3,17,0,9,2,0,2,2,6,16,0,4,47,18,13,21,16,22,10,28,22,13,14,7,16,8,18,18,7,12,7,16,4,7,13,4,10,13,10,15,7,6,8,9,8,4,3,7,5,9,7,3,1,5,1,0,1,4,4,2,5,3,2,12,3,5,15,1,1,0,3,11,4,2,0,2,2,1,0,0,0,0,0
dem_KP5_910,dem,33,19,9,25,11,1,7,2,0,2,0,2,1,2,7,2,3,2,3,2,10,17,2,1,1,3,2,9,4,1,0,0,37,9,2,4,8,23,0,7,0,10,1,0,3,5,1,6,2,2,55,12,22,13,23,26,7,19,14,14,14,7,21,9,19,21,10,9,11,9,6,1,14,2,4,9,10,8,9,4,7,11,5,3,5,2,1,4,3,4,1,1,0,1,0,2,2,1,9,2,2,14,12,9,7,0,1,0,1,12,4,5,6,1,0,1,1,0,3,0,3
dem_KP5_911,dem,159,89,49,82,21,17,37,9,7,1,8,17,13,7,35,14,12,17,8,8,20,51,17,8,12,13,8,23,11,5,5,0,114,16,12,28,11,35,6,27,5,34,6,7,10,6,22,36,3,27,107,55,35,40,81,33,47,61,31,36,26,27,28,35,25,31,28,36,20,31,21,26,33,18,30,20,22,13,20,25,20,39,23,11,15,8,14,12,36,11,9,4,11,0,2,9,5,6,10,21,11,12,42,21,19,2,9,4,3,9,14,10,14,2,3,11,0,5,2,2,5
dem_KP7_914,dem,8,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,0,2,1,0,0,0,4,0,0,1,1,3,0,4,0,1,0,0,1,0,0,4,0,1,4,4,3,5,4,4,4,3,2,1,4,3,0,2,1,0,1,0,1,2,0,1,0,0,2,0,0,2,0,2,1,1,0,0,0,2,1,0,0,0,2,0,0,0,0,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0
dem_KP7_915,dem,14,7,6,6,3,2,1,0,3,0,0,3,0,0,3,1,0,0,2,1,2,3,0,0,1,2,0,0,0,0,1,0,6,2,0,4,2,1,0,4,0,1,0,0,2,1,2,1,1,3,3,8,0,11,4,0,2,2,2,2,0,3,2,0,3,1,2,3,3,4,1,2,1,4,1,1,1,2,0,2,0,2,1,0,1,1,0,0,1,2,1,0,1,0,0,2,0,0,2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
dem_KPU_916,dem,123,60,46,64,25,19,22,6,9,3,3,9,5,3,37,12,13,10,7,5,17,38,11,5,9,6,5,18,11,4,3,0,72,9,7,15,11,41,3,27,1,10,2,7,7,10,12,11,3,24,81,52,37,33,56,38,33,68,42,16,36,24,23,31,25,15,26,23,21,16,26,11,44,15,16,15,18,13,14,6,31,34,31,14,11,6,15,7,21,4,12,8,8,3,5,14,13,9,10,11,7,9,25,16,27,6,6,5,6,8,22,4,5,3,2,1,3,4,4,4,2
dem_KPU_917,dem,43,20,12,31,10,7,10,3,7,0,1,12,2,2,9,5,0,7,1,4,16,17,4,5,3,5,0,15,4,1,0,0,23,3,5,11,5,17,2,11,2,4,2,1,2,5,1,6,1,9,33,21,8,13,35,17,11,17,8,8,8,10,19,13,6,18,15,5,6,4,8,4,7,6,2,10,5,3,13,5,11,4,0,3,2,2,3,3,7,3,5,1,1,0,1,0,4,6,9,3,8,4,20,8,9,1,7,0,4,3,7,4,8,2,2,3,1,0,1,1,0
dem_KPU_919,dem,67,40,19,28,5,7,14,3,2,5,6,10,5,4,18,6,2,3,5,4,14,15,1,1,9,4,0,17,3,1,2,0,71,12,3,13,5,30,6,12,1,13,1,9,5,1,6,6,8,7,43,36,17,10,28,32,15,18,23,15,10,14,15,15,17,10,16,14,14,13,13,8,16,8,17,8,7,13,12,9,11,10,11,9,8,3,4,10,10,2,4,3,4,0,2,5,3,6,4,2,10,6,12,11,6,1,3,0,2,5,2,0,4,0,3,2,0,4,0,0,2
dem_KPX_920,dem,12,4,3,4,0,2,1,0,0,1,2,1,1,0,5,0,0,1,0,0,7,6,1,0,0,1,0,3,1,0,0,0,9,0,0,2,0,4,0,1,1,4,0,0,2,2,0,3,0,1,31,10,13,12,9,3,4,5,5,3,4,3,12,3,7,5,4,2,1,2,2,2,1,3,3,4,8,2,2,1,1,1,3,0,1,0,0,1,6,0,1,0,0,0,0,0,0,0,2,0,1,2,1,3,2,0,0,0,0,2,0,1,2,0,1,0,1,0,0,0,0
dem_KPX_921,dem,12,11,8,15,6,3,5,1,0,0,1,0,0,0,5,1,1,0,1,0,7,12,1,0,3,1,1,6,3,1,1,0,14,3,3,2,0,14,2,13,0,3,2,1,3,3,0,13,1,1,22,11,5,10,7,13,4,16,6,7,8,3,9,18,9,10,9,2,6,7,2,4,4,3,3,2,6,9,2,2,5,4,3,0,3,1,2,3,2,3,2,2,0,1,0,6,2,1,2,2,1,7,4,10,4,0,3,0,0,5,2,2,2,1,0,2,0,0,0,0,0
dem_KPX_922,dem,7,8,1,1,0,0,0,0,1,0,0,4,1,0,0,0,2,1,0,2,0,1,0,0,0,0,0,4,0,0,0,0,14,1,0,1,4,6,0,1,0,5,0,1,0,0,0,3,0,0,20,5,14,1,5,4,7,11,9,6,10,1,8,2,10,10,3,1,5,0,2,0,2,0,0,3,7,5,2,0,3,1,1,1,0,0,2,0,2,0,1,3,1,0,1,0,1,2,0,0,0,2,1,1,4,1,0,0,0,1,0,0,0,0,1,2,1,0,1,0,1
dem_KSN_924,dem,15,7,4,5,3,0,1,5,3,1,0,1,0,5,0,0,2,2,0,1,2,4,0,0,1,1,0,5,0,1,1,0,4,0,1,1,0,1,0,6,0,2,0,1,0,0,0,9,0,1,16,3,9,11,2,1,5,2,2,0,6,1,2,4,3,2,0,1,3,4,0,2,1,1,3,4,1,14,1,0,2,1,0,0,1,0,2,0,3,0,0,0,0,0,0,2,1,0,0,0,1,2,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
dem_KSN_925,dem,47,18,20,26,8,2,3,2,3,2,1,4,2,1,7,1,3,2,0,6,9,19,4,4,3,2,1,13,8,0,2,2,41,3,3,2,3,13,2,7,1,14,1,1,5,3,2,8,0,4,56,18,26,24,20,15,25,7,21,2,11,7,22,19,16,37,14,5,12,12,8,10,5,12,7,19,11,10,15,14,10,5,9,1,3,0,1,8,4,5,1,8,0,1,0,5,3,0,2,4,3,6,6,7,14,2,0,1,2,4,3,14,7,0,3,0,2,2,1,1,0
dem_KSN_931,dem,46,21,18,32,11,12,8,5,2,0,0,5,1,0,15,4,5,3,1,0,3,7,7,3,0,1,1,15,4,2,1,0,35,8,6,8,2,6,0,7,0,12,3,3,4,4,9,16,4,4,25,5,10,4,6,4,15,4,12,2,4,11,17,9,6,11,8,2,12,9,6,2,6,2,2,9,10,1,5,9,1,3,7,3,3,0,2,2,3,5,6,4,0,0,1,5,3,2,2,3,3,5,2,2,4,6,0,1,1,4,6,41,3,0,8,5,2,3,0,4,0
dem_KSN_932,dem,40,45,26,37,15,8,14,7,4,2,3,11,5,4,20,3,6,5,18,3,10,17,10,1,2,7,3,36,3,3,1,2,23,0,2,9,4,8,6,12,0,10,3,2,2,4,6,4,2,5,29,8,18,8,9,5,14,5,2,2,8,9,17,9,7,7,9,6,4,4,12,1,0,3,3,9,9,19,8,5,9,5,4,0,2,2,1,3,4,0,3,1,1,1,1,2,2,2,2,0,6,5,5,9,4,1,1,2,0,3,0,14,1,0,0,1,0,1,1,1,0
dem_KSW_933,dem,4,5,1,3,0,1,3,0,0,0,0,1,0,0,3,2,1,0,0,1,3,4,0,0,0,0,0,1,1,0,0,0,3,2,2,0,1,1,1,1,0,3,0,0,2,0,1,0,0,0,6,0,3,3,4,1,1,2,0,2,0,3,7,0,0,7,1,2,1,1,0,0,0,0,1,1,2,2,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,4
dem_KSW_935,dem,4,2,0,1,1,0,1,0,1,0,0,0,1,0,14,0,1,0,0,0,1,7,0,0,1,2,0,4,1,1,1,0,4,0,0,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,6,7,3,1,0,3,1,0,0,1,3,0,2,1,1,0,0,0,2,0,0,0,0,3,3,1,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0
dem_KSW_936,dem,13,1,4,4,0,0,2,1,1,2,0,3,0,1,2,3,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,1,1,3,1,6,0,5,0,1,0,1,0,1,0,2,0,3,22,15,15,2,11,6,6,10,10,2,3,8,4,2,6,8,3,2,1,2,2,2,10,3,2,1,6,5,2,0,0,6,5,2,0,0,2,2,8,1,0,0,3,2,1,1,3,7,0,0,0,1,5,0,9,0,2,0,0,1,1,5,2,0,2,2,1,1,1,1,7
dem_KSW_938,dem,24,11,10,9,0,3,4,3,1,1,1,1,0,1,3,3,1,0,1,0,5,4,2,2,1,2,1,4,0,0,1,0,12,2,1,1,3,13,2,11,0,5,0,0,0,2,2,5,0,4,29,7,19,5,10,15,10,14,17,1,14,5,6,3,7,7,4,4,2,6,1,2,8,2,6,5,4,3,5,0,2,11,6,3,3,2,8,4,7,2,3,2,1,2,0,3,0,1,2,3,2,6,2,2,2,1,1,0,0,6,2,0,1,0,0,4,0,0,0,0,3
fic_AB9_939,fic,107,63,49,59,48,27,8,11,10,2,5,10,6,3,6,9,4,1,3,9,17,17,5,12,5,6,2,7,5,3,5,0,32,8,12,24,25,17,5,30,1,19,1,4,9,12,8,39,13,8,18,14,5,15,13,12,6,34,23,0,8,1,8,6,17,9,6,8,7,14,4,3,17,2,17,10,11,3,8,2,3,27,32,26,17,9,12,7,21,8,22,9,14,10,9,10,5,5,9,6,5,9,4,1,0,0,3,0,0,7,9,12,5,18,2,2,4,7,3,1,8
fic_AB9_940,fic,115,77,55,57,41,34,24,12,11,7,4,6,6,6,10,19,10,3,5,3,13,19,12,9,12,7,3,7,13,5,2,3,28,4,9,17,27,11,5,38,2,20,2,4,7,16,7,28,6,13,16,6,6,11,10,12,8,43,33,0,9,3,4,5,17,9,9,13,5,23,3,6,26,3,30,7,15,3,7,4,5,17,43,25,16,7,17,13,18,8,29,7,13,16,9,11,12,8,6,6,2,9,2,4,3,2,0,0,0,6,8,2,6,22,5,2,4,8,3,0,10
fic_AB9_941,fic,104,60,48,49,44,25,16,11,11,4,6,16,15,5,16,11,2,1,4,6,16,23,6,10,7,9,5,3,7,8,4,4,25,6,9,22,7,14,3,34,0,12,0,2,9,6,6,29,7,8,8,2,1,5,2,9,5,21,12,1,3,0,6,4,13,11,2,7,7,19,1,10,15,0,22,7,3,1,1,9,6,19,34,18,21,21,22,14,10,7,9,7,9,14,7,8,7,10,15,11,4,1,0,2,2,1,0,0,1,1,13,2,2,23,3,3,8,2,1,0,3
fic_AB9_942,fic,175,93,58,76,48,37,28,25,19,7,11,12,9,7,14,13,4,4,4,14,20,28,6,10,20,7,5,12,12,8,3,1,52,8,12,34,16,18,7,43,0,17,1,5,9,11,10,47,8,23,12,10,8,9,9,16,4,61,31,0,5,3,1,7,25,11,4,12,11,16,5,9,30,2,31,6,11,3,4,14,6,29,44,33,27,40,24,19,23,7,33,13,35,24,18,7,5,8,14,13,9,2,3,4,1,3,2,0,0,2,19,5,6,40,1,2,3,4,3,1,8
fic_AB9_943,fic,68,42,30,43,22,21,10,7,13,5,6,5,5,10,9,6,4,3,1,2,3,14,1,6,10,3,2,10,6,3,2,0,30,6,11,11,9,8,0,21,0,6,2,1,2,9,3,12,3,5,15,11,4,8,4,6,7,19,18,0,5,5,3,3,16,6,6,10,5,17,7,7,13,3,19,4,5,3,5,9,7,12,26,14,12,5,9,7,16,7,9,4,11,4,6,6,8,4,4,3,5,2,2,2,1,3,3,1,0,2,4,1,3,6,0,0,1,1,3,0,6
fic_AB9_944,fic,79,46,38,34,24,29,12,15,10,3,2,8,3,9,12,5,10,1,3,5,9,11,3,7,12,6,4,10,3,2,4,1,32,4,7,9,13,9,2,16,0,7,2,0,7,5,8,18,3,10,9,8,1,4,6,9,4,23,9,1,9,2,4,3,15,7,3,8,10,13,1,6,7,3,16,5,8,1,8,2,2,14,19,16,10,17,17,10,9,7,18,3,7,11,6,8,5,9,5,7,3,1,2,1,1,2,0,0,0,1,6,1,4,12,2,0,2,10,5,0,10
fic_AB9_945,fic,105,78,55,65,38,39,21,8,10,5,7,13,14,4,14,10,4,6,4,9,18,16,3,11,10,7,3,7,18,3,3,3,32,5,15,19,24,13,7,39,1,28,2,1,11,18,7,31,8,10,9,13,6,14,10,9,12,42,22,0,2,4,4,11,20,12,7,6,3,20,3,7,11,2,20,13,15,2,4,4,3,21,42,14,11,10,12,13,12,11,25,7,12,11,7,10,6,14,11,12,5,8,3,9,0,2,3,1,1,6,13,1,10,19,3,3,5,3,7,1,9
fic_AB9_946,fic,161,108,69,81,53,35,39,16,16,7,5,25,11,8,17,22,3,3,8,13,26,36,4,9,22,14,5,8,12,8,6,4,71,7,24,41,18,24,7,60,4,38,2,4,17,9,12,53,9,11,13,9,7,17,10,23,13,62,28,0,9,1,5,9,28,18,13,18,18,25,8,6,36,1,28,18,26,4,4,9,9,39,65,34,24,18,27,26,27,14,39,15,24,27,15,15,17,14,13,7,8,9,3,5,5,3,3,0,0,7,15,7,4,49,0,3,3,8,6,2,22
fic_AC2_947,fic,99,51,53,73,50,35,14,17,26,7,4,8,11,18,26,8,5,0,4,8,21,15,6,15,5,8,0,2,6,4,6,6,12,22,14,15,19,6,4,16,1,9,1,2,6,19,5,16,11,4,3,1,2,2,0,3,2,19,3,0,0,1,1,2,8,4,2,3,4,11,1,5,3,1,9,4,2,0,2,2,2,9,14,18,11,10,6,10,9,18,9,0,4,5,11,5,6,3,10,7,9,1,1,1,3,1,1,0,0,1,5,7,14,7,4,3,5,2,8,0,4
fic_AC2_948,fic,72,43,42,54,29,23,11,20,5,11,10,11,9,15,13,10,2,1,3,9,18,22,3,15,5,12,3,6,2,5,0,8,37,11,10,16,17,19,2,14,0,11,1,2,8,27,2,12,10,9,13,8,9,2,4,12,10,11,2,1,11,3,7,9,11,9,7,6,8,6,0,8,6,3,14,4,7,5,5,16,5,12,14,11,8,5,6,12,6,8,4,0,3,5,9,2,12,6,4,7,14,2,0,3,2,1,1,0,2,2,2,5,9,6,5,3,3,5,6,2,4
fic_AC2_949,fic,136,73,84,100,66,45,21,19,19,9,9,21,7,15,34,13,9,1,10,15,27,29,8,16,3,14,10,6,9,5,4,4,20,11,27,34,13,22,4,42,2,18,0,6,18,15,5,44,12,10,11,6,1,6,3,9,6,49,27,0,8,4,2,6,17,7,4,12,8,22,3,7,6,4,26,10,9,8,3,8,4,27,45,21,26,16,17,20,18,22,4,15,15,7,6,18,17,9,8,12,8,2,2,3,0,0,1,0,0,0,10,1,10,2,0,3,2,3,6,1,8
