student_id,joc_id,thread_id
12053,joc_00077,12A-02N035
12054,joc_00078,12A-02N058
12008,joc_00079,12A-02N068
12060,joc_00080,12A-02N054
12025,joc_00081,12A-02N062
12050,joc_00082,12A-02N037
12022,joc_00083,12A-02N027
12054,joc_00084,12A-02N002
12042,joc_00085,12A-02N025
12021,joc_00086,12A-02N011
12009,joc_00087,12A-02N042
12015,joc_00088,12A-02N001
12034,joc_00089,12A-02N036
12045,joc_00090,12A-02N021
12013,joc_00091,12A-02N019
12018,joc_00092,12A-02N026
12032,joc_00093,12A-02N023
12020,joc_00094,12A-02N003
12025,joc_00095,12A-02N020
12035,joc_00096,12A-02N022
12004,joc_00097,12A-02N043
12061,joc_00098,12A-02N013
12025,joc_00099,12A-02N063
12060,joc_00100,12A-02N064
12046,joc_00101,12A-02N024
12007,joc_00102,12A-02N074
12051,joc_00103,12A-02N004
12028,joc_00104,12A-02N065
12041,joc_00105,12A-02N008
12037,joc_00106,12A-02N070
12060,joc_00107,12A-02N053
12040,joc_00108,12A-02N045
12039,joc_00109,12A-02N060
12060,joc_00110,12A-02N061
12029,joc_00111,12A-02N016
12017,joc_00112,12A-02N028
12026,joc_00113,12A-02N030
12063,joc_00114,12A-02N015
12047,joc_00115,12A-02N055
12061,joc_00116,12A-02N057
12006,joc_00117,12A-02N066
12052,joc_00118,12A-02N046
12005,joc_00119,12A-02N067
12005,joc_00120,12A-02N040
12030,joc_00121,12A-02N059
12055,joc_00122,12A-02N018
12029,joc_00123,12A-02N075
12031,joc_00124,12A-02N050
12045,joc_00125,12A-02N072
12063,joc_00126,12A-02N014
12044,joc_00127,12A-02N071
12049,joc_00128,12A-02N017
12003,joc_00129,12A-02N049
12047,joc_00130,12A-02N073
12019,joc_00131,12A-02N032
12031,joc_00132,12A-02N009
12012,joc_00133,12A-02N031
12033,joc_00134,12A-02N034
12016,joc_00135,12A-02N041
12023,joc_00136,12A-02N029
12028,joc_00137,12A-02N012
12027,joc_00138,12A-02N052
12011,joc_00139,12A-02N010
12010,joc_00140,12A-02N033
12036,joc_00141,12A-02N076
12043,joc_00142,12A-02N077
12014,joc_00143,12A-02N047
12024,joc_00144,12A-02N048
12059,joc_00145,12A-02N078
12062,joc_00146,12A-02N079
12038,joc_00147,12A-02N005
12059,joc_00148,12A-02N051
12002,joc_00149,12A-02N080
12006,joc_00150,12A-02N007
12037,joc_00151,12A-02N006
12029,joc_00152,12A-03N015
12038,joc_00153,12A-03N034
12047,joc_00154,12A-03N025
12031,joc_00155,12A-03N033
12010,joc_00156,12A-03N026
12013,joc_00157,12A-03N019
12025,joc_00158,12A-03N006
12014,joc_00159,12A-03N003
12012,joc_00160,12A-03N011
12022,joc_00161,12A-03N023
12041,joc_00162,12A-03N017
12006,joc_00163,12A-03N032
12011,joc_00164,12A-03N014
12004,joc_00165,12A-03N008
12042,joc_00166,12A-03N013
12001,joc_00167,12A-03N022
12019,joc_00168,12A-03N016
12015,joc_00169,12A-03N024
12003,joc_00170,12A-03N031
