topic_id,headline,material,type
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04N,British woman runs the marathon in a bionic suit,supported,news
12A-04O,British woman runs the marathon in a bionic suit,unsupported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05N,Obama says same-sex couples should be able to marry,supported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-05O,Obama says same-sex couples should be able to marry,unsupported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
